"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-78.55","45.58","ALGONQUIN PARK","6080189","1954-02","1954","02","-0.2","","-11.7","","-6.0","","10.0","","-35.6","","","M","","M","","M","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1954-03","1954","03","-0.1","","-11.9","","-6.0","","10.0","","-22.2","","20.1","","31.8","","51.8","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1954-04","1954","04","8.9","","-3.5","","2.7","","23.3","","-28.9","","90.7","","15.2","","105.9","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1954-05","1954","05","14.9","","3.0","","9.0","","24.4","","-4.4","","50.8","","0.0","","50.8","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1954-06","1954","06","22.0","","11.8","","16.9","","27.8","","6.7","S","112.0","","0.0","","112.0","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1954-07","1954","07","22.0","","10.8","","16.4","","27.2","","3.9","","98.3","","0.0","","98.3","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1954-08","1954","08","20.9","","10.3","","15.6","","27.2","","2.8","","85.9","","0.0","","85.9","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1954-09","1954","09","16.0","","6.3","","11.2","","22.8","S","-1.1","","148.6","","0.0","","148.6","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1954-10","1954","10","12.0","","3.8","","7.9","","22.8","","-3.3","","118.1","","0.0","T","118.1","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1954-11","1954","11","4.0","E","-2.6","","0.7","E","","M","-10.6","","26.2","","21.6","","47.8","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1954-12","1954","12","-4.3","","-13.8","","-9.1","","0.6","S","-32.2","","0.0","","67.3","","67.3","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1955-01","1955","01","-6.9","","-18.6","","-12.8","","0.6","","-36.7","","0.0","","33.0","","33.0","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1955-02","1955","02","-4.1","","-16.3","","-10.2","","4.4","S","-35.6","","1.3","","36.8","","38.1","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1955-03","1955","03","-1.1","","-12.7","","-6.9","","9.4","","-27.8","","33.5","","50.3","","83.8","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1955-04","1955","04","11.4","","0.6","","6.0","","21.1","","-10.0","","65.3","","0.0","","65.3","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1955-05","1955","05","18.8","","5.3","","12.1","","28.3","","-2.2","","55.1","","0.0","","55.1","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1955-06","1955","06","23.2","","10.9","","17.1","","31.1","","4.4","","38.6","","0.0","","38.6","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1955-07","1955","07","27.3","","13.9","","20.6","","33.9","","7.2","","91.4","","0.0","","91.4","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1955-08","1955","08","25.7","","13.8","","19.8","","33.3","","4.4","","65.8","","0.0","","65.8","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1955-09","1955","09","19.6","","5.8","","12.7","","30.6","","-2.2","","16.3","","0.0","","16.3","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1955-10","1955","10","12.5","","3.2","","7.9","","23.9","","-7.2","","194.3","","1.3","","195.6","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1955-11","1955","11","1.4","","-5.9","","-2.3","","8.9","S","-16.1","S","42.9","","39.4","","82.3","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1955-12","1955","12","-6.9","","-16.9","","-11.9","","0.6","S","-35.0","","0.0","","26.7","","26.7","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1956-01","1956","01","-5.7","","-16.1","","-10.9","","3.9","","-28.9","","15.2","","24.9","","40.1","","","M","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1956-02","1956","02","-3.4","","-16.6","","-10.0","","3.3","","-28.9","","9.7","","57.2","","66.8","","0","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1956-03","1956","03","-1.2","","-16.2","","-8.7","","5.0","","-28.3","","2.0","","31.8","","33.8","","0","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1956-04","1956","04","5.7","","-4.1","","0.8","","12.8","","-16.7","","47.0","","7.6","","54.6","","0","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1956-05","1956","05","12.6","","0.3","","6.5","","25.0","","-8.9","","127.3","","0.0","","127.3","","0","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1956-06","1956","06","22.0","","10.1","","16.1","","32.2","","3.9","","112.8","","0.0","","112.8","","0","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1956-07","1956","07","21.8","","11.2","","16.5","","27.8","","5.6","","108.7","","0.0","","108.7","","0","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1956-08","1956","08","22.2","","10.9","","16.6","","28.9","","4.4","","127.8","","0.0","","127.8","","0","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1956-09","1956","09","16.1","","5.0","","10.6","","26.7","","-2.2","","105.2","","0.0","","105.2","","0","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1956-10","1956","10","15.3","","1.8","","8.6","","23.3","","-5.6","","33.3","","0.0","","33.3","","","M","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1956-11","1956","11","3.9","","-4.0","","-0.1","","15.6","S","-24.4","","64.5","","37.3","","101.9","","","M","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1956-12","1956","12","-3.2","","-12.1","","-7.7","","4.4","","-30.6","","9.4","","44.5","","53.8","","0","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1957-01","1957","01","-9.2","","-20.7","","-15.0","","6.1","","-39.4","","24.4","","48.3","","72.6","","","M","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1957-02","1957","02","-1.6","","-12.4","","-7.0","","6.7","","-26.7","","7.4","","27.9","","35.3","","","M","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1957-03","1957","03","1.9","","-10.3","","-4.2","","13.3","","-21.1","","12.4","","19.1","","31.5","","","M","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1957-04","1957","04","10.2","","-2.2","","4.0","","24.4","","-12.8","","37.6","","3.8","","41.4","","","M","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1957-05","1957","05","15.9","","3.2","","9.6","","26.7","","-5.0","S","67.1","","0.0","","67.1","","0","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1957-06","1957","06","21.7","","10.8","","16.3","","31.1","","2.2","","231.4","","0.0","","231.4","","0","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1957-07","1957","07","24.6","","11.8","","18.2","","30.0","","3.9","","55.4","","0.0","","55.4","","0","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1957-08","1957","08","21.6","","9.0","","15.3","","28.3","","2.2","","27.4","","0.0","","27.4","","0","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1957-09","1957","09","18.7","","7.2","","13.0","","25.6","","-2.8","","190.5","","0.0","","190.5","","0","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1957-10","1957","10","11.3","","0.9","","6.1","","21.1","","-7.8","","85.6","","3.8","","89.4","","","M","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1957-11","1957","11","3.9","","-3.0","","0.5","","11.1","","-20.0","","70.6","","52.1","","122.7","","","M","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1957-12","1957","12","-1.4","","-10.9","","-6.2","","10.0","","-30.0","","35.3","","52.1","","87.4","","","M","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1958-01","1958","01","-5.3","","-15.8","","-10.6","","0.6","S","-34.4","","0.0","","54.6","","54.6","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1958-02","1958","02","-8.1","","-19.6","","-13.9","","5.0","","-33.3","S","0.0","","31.8","","31.8","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1958-03","1958","03","2.6","","-6.8","","-2.1","","7.2","","-14.4","","0.0","","24.1","","24.1","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1958-04","1958","04","10.5","","-2.9","","3.8","","21.1","","-11.1","","26.2","","10.2","","36.3","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1958-05","1958","05","15.0","","1.5","","8.3","","25.6","","-6.1","","56.4","","0.0","","56.4","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1958-06","1958","06","19.1","","6.0","","12.6","","26.1","","1.7","S","93.5","","0.0","","93.5","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1958-07","1958","07","23.0","","11.9","","17.5","","28.3","","5.6","","73.2","","0.0","","73.2","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1958-08","1958","08","22.9","","10.7","","16.8","","30.0","","4.4","","69.6","","0.0","","69.6","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1958-09","1958","09","18.1","","6.3","","12.2","","24.4","","0.6","","97.5","","0.0","","97.5","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1958-10","1958","10","12.2","","0.8","","6.5","","20.0","S","-6.7","","88.6","","0.0","","88.6","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1958-11","1958","11","4.6","","-3.9","","0.4","","16.7","","-22.2","","39.6","","26.7","","66.3","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1958-12","1958","12","-7.5","","-20.9","","-14.2","","2.2","","-37.2","","0.0","","41.9","","41.9","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1959-01","1959","01","-8.8","","-17.4","","-13.1","","7.2","","-35.0","","3.0","","62.5","","65.5","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1959-02","1959","02","-7.7","","-23.6","","-15.7","","1.7","","-39.4","","0.0","","134.6","","134.6","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1959-03","1959","03","-0.3","","-14.2","","-7.3","","7.2","S","-31.7","","3.0","","53.3","","56.4","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1959-04","1959","04","7.6","","-3.3","","2.2","","15.0","S","-12.2","S","50.5","","4.6","","55.1","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1959-05","1959","05","17.6","","5.2","","11.4","","26.7","S","-5.0","","64.8","","0.0","","64.8","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1959-06","1959","06","22.4","","10.7","","16.6","","30.0","","3.9","S","35.6","","0.0","","35.6","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1959-07","1959","07","25.6","","13.3","","19.5","","31.1","","7.8","S","84.3","","0.0","","84.3","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1959-08","1959","08","24.3","","15.2","","19.8","","30.6","","5.0","","139.4","","0.0","","139.4","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1959-09","1959","09","19.6","","9.1","","14.4","","30.6","","-2.2","","128.0","","0.0","","128.0","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1959-10","1959","10","8.7","","1.5","","5.1","","18.9","","-9.4","","98.8","","8.9","","107.7","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1959-11","1959","11","1.4","","-6.6","","-2.6","","13.9","","-15.6","","92.2","","54.6","","146.8","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1959-12","1959","12","-3.9","","-12.4","","-8.2","","2.2","S","-31.1","","16.8","","82.8","","99.6","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1960-01","1960","01","-6.5","","-17.7","","-12.1","","0.6","","-38.3","","0.0","","96.5","","96.5","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1960-02","1960","02","-4.3","","-14.8","","-9.6","","4.4","","-31.1","","10.9","","101.6","","112.5","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1960-03","1960","03","-4.1","","-18.5","","-11.3","","13.9","","-31.7","","7.6","","11.4","","19.1","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1960-04","1960","04","8.7","","-1.8","","3.5","","17.8","","-12.8","","50.8","","3.8","","54.6","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1960-05","1960","05","18.5","","7.6","","13.1","","26.7","","-3.9","","79.2","","0.0","","79.2","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1960-06","1960","06","21.2","","8.3","","14.8","","26.1","","0.0","","128.5","","0.0","","128.5","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1960-07","1960","07","22.7","","11.1","","16.9","","27.8","S","6.7","","88.6","","0.0","","88.6","","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1960-08","1960","08","23.5","","10.9","","17.2","","28.9","S","3.3","","","M","","M","","M","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1960-09","1960","09","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1960-10","1960","10","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1960-11","1960","11","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-78.55","45.58","ALGONQUIN PARK","6080189","1960-12","1960","12","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
